,모집 제목,회사,link,위치,필요 조건,마감일
0,"IT 웹/서버, 클라우드 프로그램 개발자 모집(신입/경력)",마준소프트(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52919826&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기용인시,신입·경력 대졸↑ 정규직·인턴직,02/24
1,[(주)케이뱅크] 계정계 수신 업무 개발자,(주)케이뱅크,/zf_user/jobs/relay/view?view_type=search&rec_idx=52932739&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울중구,경력3년↑ 고졸↑ 정규직,02/02
2,[(주)케이뱅크] 채널계 여신 사전 업무 개발자,(주)케이뱅크,/zf_user/jobs/relay/view?view_type=search&rec_idx=52932467&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울중구,경력2년↑ 고졸↑ 기간제·계약직,02/02
3,"IT JAVA, C#, Winform, C# 윈폼 운영 담당자, 개발자 채용의 건",(주)사조시스템즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52862557&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울서대문구,신입·경력 대졸↑ 정규직,01/30
4,[AI개발]더존비즈온 AI연구소 AI인프라 개발자 채용,(주)더존비즈온,/zf_user/jobs/relay/view?view_type=search&rec_idx=52944560&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울중구,신입·경력 학력무관 정규직,02/11
5,(주)한싹 JAVA 개발자 채용(신입~3년이하),(주)한싹,/zf_user/jobs/relay/view?view_type=search&rec_idx=52936284&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강동구,경력무관 초대졸↑ 정규직,01/30
6,[기술연구소] 소프트웨어 개발자 채용의 건,(주)토페스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52932422&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기남양주시,신입·경력 대졸↑ 정규직,02/27
7,"2026년(주)큐니온 판교연구소 H/W, S/W,기구 개발자 대규모 영입",(주)큐니온,/zf_user/jobs/relay/view?view_type=search&rec_idx=52699256&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기성남시 분당구,경력무관 대졸↑ 정규직,01/30
8,[신입/경력] React/Spring Boot 기반 개발자 채용 (면접비 지급),(주)데이터유니버스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52856793&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,경력무관 대졸↑ 정규직·계약직,01/30
9,[ITS교통관제시스템] 풀스택 웹개발자(Java/Spring/Python),(주)키스템프그룹,/zf_user/jobs/relay/view?view_type=search&rec_idx=52933400&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기군포시,경력3년↑ 초대졸↑ 정규직,02/03
10,[코스닥 상장사] 웹 백엔드 개발자 채용,알서포트(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52773168&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강동구,경력 2~5년 학력무관 정규직,02/09
11,[코스닥 상장사] 웹 프론트엔드 개발자 채용,알서포트(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52773143&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강동구,신입·경력 학력무관 정규직,02/09
12,[STN] 코어(데이터 수집) 개발자 신입사원 채용,(주)에스티엔인포텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=52873037&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기과천시,신입 초대졸↑ 정규직,03/21
13,디스플레이/반도체 생산/검사장비 SDK 개발자 모집,(주)힘스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52932088&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,인천남동구,경력무관 대졸↑ 정규직,01/30
14,우주 항공 분야 개발자 경력 채용,(주)아이엠티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52936109&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,세종특별자치시,경력무관 학력무관 정규직,01/30
